Time [Minutes](1 to 4 minutes cannot move),GSR  1 [arb],EKG  1 [Arb],Manual values
0:59.40, 37006,  2049,
0:59.60, 37006,  2122,
0:59.80, 37013,  2044,
1:00.00, 37023,  2534,
1:00.20, 37023,  1927,
1:00.40, 37035,  2553,
1:00.60, 37055,  2242,
1:00.80, 37076,  2930,
1:01.00, 37092,  2307,
1:01.20, 37091,  2143,
1:01.40, 37091,  1892,
1:01.60, 37072,  1480,
1:01.80, 37045,  1975,
1:02.00, 37013,  1380,
1:02.20, 36980,  1706,
1:02.40, 36980,  1592,
1:02.60, 36947,  2136,
1:02.80, 36917,  1701,
1:03.00, 36894,  2092,
1:03.20, 36875,  2181,
1:03.40, 36875,  1983,
1:03.60, 36858,  2387,
1:03.80, 36846,  2120,
1:04.00, 36841,  2070,
1:04.20, 36840,  1797,
1:04.40, 36842,  1847,
1:04.60, 36842,  1960,
1:04.80, 36843,  1661,
1:05.00, 36839,  2368,
1:05.20, 36836,  1885,
1:05.40, 36826,  2089,
1:05.60, 36826,  3068,
1:05.80, 36793,  2459,
1:06.00, 36754,  2225,
1:06.20, 36709,  2010,
1:06.40, 36676,  1464,
1:06.60, 36679,  2540,
1:06.80, 36679,  2140,
1:07.00, 36699,  1710,
1:07.20, 36746,  1848,
1:07.40, 36808,  2264,
1:07.60, 36862,  1928,
1:07.80, 36862,  2139,
1:08.00, 36897,  2119,
1:08.20, 36904,  2579,
1:08.40, 36889,  2293,
1:08.60, 36871,  2207,
1:08.80, 36871,  2225,
1:09.00, 36865,  2143,
1:09.20, 36868,  2181,
1:09.40, 36874,  3234,
1:09.60, 36879,  2594,
1:09.80, 36878,  2108,
1:10.00, 36878,  2243,
1:10.20, 36875,  2151,
1:10.40, 36871,  2231,
1:10.60, 36862,  1849,
1:10.80, 36852,  2668,
1:11.00, 36852,  2629,
1:11.20, 36844,  2599,
1:11.40, 36847,  2353,
1:11.60, 36861,  2118,
1:11.80, 36886,  2009,
1:12.00, 36910,  2047,
1:12.20, 36910,  1803,
1:12.40, 36924,  1974,
1:12.60, 36926,  2046,
1:12.80, 36917,  1733,
1:13.00, 36902,  1913,
1:13.20, 36902,  1934,
1:13.40, 36902,  2229,
1:13.60, 36890,  1797,
1:13.80, 36872,  1986,
1:14.00, 36851,  1890,
1:14.20, 36811,  2045,
1:14.40, 36811,  1819,
1:14.60, 36785,  1895,
1:14.80, 36766,  2150,
1:15.00, 36752,  1964,
1:15.20, 36741,  1969,
1:15.40, 36741,  2019,
1:15.60, 36730,  1955,
1:15.80, 36722,  2062,
1:16.00, 36714,  1911,
1:16.20, 36708,  2071,
1:16.40, 36708,  1900,
1:16.60, 36704,  2120,
1:16.80, 36701,  1709,
1:17.00, 36751,  2081,
1:17.20, 36848,  2032,
1:17.40, 36916,  2359,
1:17.60, 36916,  2087,
1:17.80, 36965,  2246,
1:18.00, 36958,  2302,
1:18.20, 36909,  2402,
1:18.40, 36895,  1414,
1:18.60, 36895,  2548,
1:18.80, 36906,  2223,
1:19.00, 36935,  2161,
1:19.20, 36970,  1618,
1:19.40, 37003,  1808,
1:19.60, 37026,  1865,
1:19.80, 37026,  2137,
1:20.00, 37039,  3413,
1:20.20, 37007,  2403,
1:20.40, 36948,  2053,
1:20.60, 36887,  2568,
1:20.80, 36887,  2008,
1:21.00, 36821,  2237,
1:21.20, 36791,  1797,
1:21.40, 36802,  2033,
1:21.60, 36829,  1376,
1:21.80, 36864,  2734,
1:22.00, 36864,  1883,
1:22.20, 36900,  1657,
1:22.40, 36927,  1939,
1:22.60, 36948,  2284,
1:22.80, 36971,  2123,
1:23.00, 36971,  2606,
1:23.20, 36991,  2328,
1:23.40, 37007,  2099,
1:23.60, 37017,  2147,
1:23.80, 37027,  2077,
1:24.00, 37027,  1439,
1:24.20, 37037,  2700,
1:24.40, 37047,  2609,
1:24.60, 37070,  2042,
1:24.80, 37093,  1934,
1:25.00, 37115,  2301,
1:25.20, 37115,  2712,
1:25.40, 37127,  2152,
1:25.60, 37104,  2510,
1:25.80, 37056,  1377,
1:26.00, 37010,  2265,
1:26.20, 37010,  1983,
1:26.40, 36977,  2035,
1:26.60, 36968,  1897,
1:26.80, 36978,  1730,
1:27.00, 36990,  1984,
1:27.20, 37005,  2148,
1:27.40, 37005,  2055,
1:27.60, 37019,  1486,
1:27.80, 37028,  2226,
1:28.00, 37029,  2099,
1:28.20, 37027,  2073,
1:28.40, 37027,  1897,
1:28.60, 37019,  1952,
1:28.80, 37004,  1806,
1:29.00, 36976,  1973,
1:29.20, 36937,  1823,
1:29.40, 36937,  2153,
1:29.60, 36893,  1905,
1:29.80, 36857,  2162,
1:30.00, 36834,  1793,
1:30.20, 36821,  2057,
1:30.40, 36813,  2010,
1:30.60, 36813,  2177,
1:30.80, 36802,  1917,
1:31.00, 36793,  1939,
1:31.20, 36787,  1954,
1:31.40, 36787,  2409,
1:31.60, 36787,  1684,
1:31.80, 36788,  2050,
1:32.00, 36790,  3088,
1:32.20, 36793,  2543,
1:32.40, 36801,  2010,
1:32.60, 36822,  1962,
1:32.80, 36822,  1734,
1:33.00, 36856,  2646,
1:33.20, 36898,  2192,
1:33.40, 36941,  2200,
1:33.60, 36978,  1906,
1:33.80, 36978,  2001,
1:34.00, 37005,  1964,
1:34.20, 37022,  2012,
1:34.40, 37052,  2138,
1:34.60, 37119,  1801,
1:34.80, 37148,  2180,
1:35.00, 37148,  1745,
1:35.20, 37162,  2181,
1:35.40, 37148,  1930,
1:35.60, 37115,  1931,
1:35.80, 37098,  2137,
1:36.00, 37098,  1828,
1:36.20, 37099,  2001,
1:36.40, 37086,  2025,
1:36.60, 37032,  2500,
1:36.80, 36992,  1559,
1:37.00, 36992,  1609,
1:37.20, 36940,  3138,
1:37.40, 36908,  2329,
1:37.60, 36907,  2109,
1:37.80, 36916,  1927,
1:38.00, 36918,  2090,
1:38.20, 36918,  1885,
1:38.40, 36917,  2098,
1:38.60, 36921,  2801,
1:38.80, 36922,  2431,
1:39.00, 36935,  2014,
1:39.20, 36935,  2046,
1:39.40, 36953,  2092,
1:39.60, 36961,  1942,
1:39.80, 36965,  2013,
1:40.00, 36965,  1968,
1:40.20, 36965,  1978,
1:40.40, 36965,  1968,
1:40.60, 36961,  2088,
1:40.80, 36965,  3847,
1:41.00, 36977,  2554,
1:41.20, 36987,  2048,
1:41.40, 36987,  2395,
1:41.60, 36993,  2025,
1:41.80, 36995,  1538,
1:42.00, 36991,  1327,
1:42.20, 36982,  1891,
1:42.40, 36982,  2908,
1:42.60, 36974,  2456,
1:42.80, 36967,  2382,
1:43.00, 36967,  2112,
1:43.20, 36989,  2505,
1:43.40, 37018,  2416,
1:43.60, 37018,  2236,
1:43.80, 37028,  2252,
1:44.00, 37025,  2218,
1:44.20, 36998,  3579,
1:44.40, 36962,  2312,
1:44.60, 36962,  1864,
1:44.80, 36940,  1278,
1:45.00, 36929,  1833,
1:45.20, 36923,  1734,
1:45.40, 36915,  2104,
1:45.60, 36920,  2158,
1:45.80, 36920,  2574,
1:46.00, 36924,  2411,
1:46.20, 36925,  2466,
1:46.40, 36931,  2204,
1:46.60, 36934,  2039,
1:46.80, 36934,  1919,
1:47.00, 36941,  1789,
1:47.20, 36951,  1472,
1:47.40, 36956,  1980,
1:47.60, 36953,  2070,
1:47.80, 36953,  1939,
1:48.00, 36940,  1930,
1:48.20, 36924,  1911,
1:48.40, 36908,  2092,
1:48.60, 36895,  1859,
1:48.80, 36886,  2184,
1:49.00, 36886,  1673,
1:49.20, 36882,  3008,
1:49.40, 36883,  2320,
1:49.60, 36888,  2020,
1:49.80, 36909,  2077,
1:50.00, 36909,  1891,
1:50.20, 36952,  1982,
1:50.40, 37007,  2926,
1:50.60, 37058,  2420,
1:50.80, 37086,  1911,
1:51.00, 37084,  1849,
1:51.20, 37084,  1954,
1:51.40, 37069,  1825,
1:51.60, 37047,  2100,
1:51.80, 37022,  2829,
1:52.00, 37008,  2396,
1:52.20, 37008,  1849,
1:52.40, 36998,  1854,
1:52.60, 37004,  2143,
1:52.80, 37022,  1241,
1:53.00, 37036,  1850,
1:53.20, 37048,   956,
1:53.40, 37048,  2991,
1:53.60, 37055,  2580,
1:53.80, 37063,  1937,
1:54.00, 37066,  2157,
1:54.20, 37064,  1914,
1:54.40, 37064,  1763,
1:54.60, 37053,  1591,
1:54.80, 37042,  2318,
1:55.00, 37032,  1961,
1:55.20, 37025,  2219,
1:55.40, 37025,  2272,
1:55.60, 37020,  1840,
1:55.80, 37013,  2414,
1:56.00, 36996,  2165,
1:56.20, 36975,  1915,
1:56.40, 36948,  2148,
1:56.60, 36948,  2000,
1:56.80, 36919,  2434,
1:57.00, 36915,  2518,
1:57.20, 36933,  2503,
1:57.40, 36962,  2212,
1:57.60, 36962,  1613,
1:57.80, 36993,  1887,
1:58.00, 37013,  1053,
1:58.20, 37016,  2029,
1:58.40, 37010,  1851,
1:58.60, 37002,  2046,
1:58.80, 37002,  2424,
1:59.00, 36977,  2045,
1:59.20, 36943,  2031,
1:59.40, 36909,  2319,
1:59.60, 36882,  2309,
1:59.80, 36882,  2009,
2:00.00, 36867,  2000,
2:00.20, 36854,  1898,
2:00.40, 36836,  2134,
2:00.60, 36809,  2149,
2:00.80, 36809,  1827,
2:01.00, 36781,  2346,
2:01.20, 36764,  1901,
2:01.40, 36759,  2007,
2:01.60, 36762,  1963,
2:01.80, 36768,  2002,
2:02.00, 36768,  1970,
2:02.20, 36773,  1940,
2:02.40, 36779,  2149,
2:02.60, 36781,  1801,
2:02.80, 36782,  2028,
2:03.00, 36782,  1891,
2:03.20, 36780,  2246,
2:03.40, 36776,  1926,
2:03.60, 36773,  2074,
2:03.80, 36773,  1578,
2:04.00, 36774,  1996,
2:04.20, 36774,  2322,
2:04.40, 36775,  2344,
2:04.60, 36776,  2682,
2:04.80, 36776,  2266,
2:05.00, 36773,  1389,
2:05.20, 36773,  1759,
2:05.40, 36769,  1740,
2:05.60, 36770,  1981,
2:05.80, 36795,  1825,
2:06.00, 36846,  1819,
2:06.20, 36909,  1793,
2:06.40, 36909,  1537,
2:06.60, 36970,  1993,
2:06.80, 37015,  1790,
2:07.00, 37038,  2145,
2:07.20, 37060,  2116,
2:07.40, 37060,  1998,
2:07.60, 37090,  2164,
2:07.80, 37121,  1892,
2:08.00, 37153,  2153,
2:08.20, 37173,  1870,
2:08.40, 37173,  2218,
2:08.60, 37171,  1894,
2:08.80, 37151,  2045,
2:09.00, 37117,  2036,
2:09.20, 37075,  2262,
2:09.40, 37028,  1991,
2:09.60, 37028,  2162,
2:09.80, 36979,  2131,
2:10.00, 36931,  2110,
2:10.20, 36882,  2005,
2:10.40, 36834,  2164,
2:10.60, 36834,  2156,
2:10.80, 36789,  2104,
2:11.00, 36750,  2270,
2:11.20, 36722,  2129,
2:11.40, 36706,  2208,
2:11.60, 36698,  1724,
2:11.80, 36698,  2429,
2:12.00, 36697,  2070,
2:12.20, 36698,  2182,
2:12.40, 36700,  1700,
2:12.60, 36707,  2462,
2:12.80, 36707,  2111,
2:13.00, 36717,  2106,
2:13.20, 36727,  2077,
2:13.40, 36735,  2341,
2:13.60, 36731,  2118,
2:13.80, 36708,  2376,
2:14.00, 36708,  2218,
2:14.20, 36689,  2408,
2:14.40, 36677,  2086,
2:14.60, 36682,  2087,
2:14.80, 36708,  2122,
2:15.00, 36708,  2036,
2:15.20, 36731,  2105,
2:15.40, 36745,  1804,
2:15.60, 36745,  1962,
2:15.80, 36735,  1768,
2:16.00, 36735,  2002,
2:16.20, 36722,  1791,
2:16.40, 36704,  2329,
2:16.60, 36695,  2060,
2:16.80, 36694,  2190,
2:17.00, 36678,  1901,
2:17.20, 36678,  2157,
2:17.40, 36649,  2241,
2:17.60, 36613,  2145,
2:17.80, 36595,  2075,
2:18.00, 36625,  2185,
