Time [Minutes],GSR  1 [arb],EKG  1 [Arb],Manual values
0:56.60, 39751,  2877,
0:56.80, 39757,  2281,
0:57.00, 39760,  1976,
0:57.20, 39613,  2425,
0:57.40, 39613,  1995,
0:57.60, 38971,  2488,
0:57.80, 38043,  1944,
0:58.00, 36961,  1979,
0:58.20, 35946,  1885,
0:58.40, 35407,  2000,
0:58.60, 35407,  1971,
0:58.80, 35440,  3267,
0:59.00, 35786,  2192,
0:59.20, 36585,  1967,
0:59.40, 37600,  1886,
0:59.60, 37600,  2147,
0:59.80, 38417,  1760,
1:00.00, 38897,  2383,
1:00.20, 38775,  1658,
1:00.40, 38670,  1523,
1:00.60, 38670,  1534,
1:00.80, 38554,  1713,
1:01.00, 38723,  1852,
1:01.20, 39169,  1774,
1:01.40, 39423,  1873,
1:01.60, 39607,  1806,
1:01.80, 39607,  1816,
1:02.00, 39691,  1445,
1:02.20, 39730,  2235,
1:02.40, 39748,  2343,
1:02.60, 39757,  2036,
1:02.80, 39757,  2036,
1:03.00, 39762,  1791,
1:03.20, 39764,  1977,
1:03.40, 39766,  1947,
1:03.60, 39767,  1913,
1:03.80, 39767,  1990,
1:04.00, 39767,  1959,
1:04.20, 39768,  1907,
1:04.40, 39768,  1915,
1:04.60, 39768,  1888,
1:04.80, 39768,  2390,
1:05.00, 39768,  1974,
1:05.20, 39769,  1934,
1:05.40, 39769,  2309,
1:05.60, 39769,  2180,
1:05.80, 39769,  1907,
1:06.00, 39769,  1858,
1:06.20, 39769,  2080,
1:06.40, 39769,  2319,
1:06.60, 39769,  2159,
1:06.80, 39769,  1775,
1:07.00, 39770,  1952,
1:07.20, 39770,  2436,
1:07.40, 39770,  1828,
1:07.60, 39770,  2275,
1:07.80, 39770,  1924,
1:08.00, 39770,  2173,
1:08.20, 39770,  3390,
1:08.40, 39770,  1542,
1:08.60, 39770,  3719,
1:08.80, 39770,  2287,
1:09.00, 39770,  2768,
1:09.20, 39770,  2082,
1:09.40, 39770,  1810,
1:09.60, 39770,  1846,
1:09.80, 39770,  1929,
1:10.00, 39770,  1626,
1:10.20, 39770,  2920,
