Time [Minutes],GSR  1 [arb],EKG  1 [Arb],Manual values
1:21.00, 31310,   449,
1:21.20, 31337,  1193,
1:21.40, 31337,  2613,
1:21.60, 31440,  1342,
1:21.80, 31573,  2181,
1:22.00, 31658,  3990,
1:22.20, 31680,    53,
1:22.40, 31680,    23,
1:22.60, 31664,    29,
1:22.80, 31638,    46,
1:23.00, 31610,  1326,
1:23.20, 31590,  1969,
1:23.40, 31572,  1128,
1:23.60, 31572,  1857,
1:23.80, 31532,  2431,
1:24.00, 31497,  2396,
1:24.20, 31469,  2213,
1:24.40, 31449,  1857,
1:24.60, 31449,  2145,
1:24.80, 31451,  2164,
1:25.00, 31456,  2191,
1:25.20, 31460,  2374,
1:25.40, 31463,  2300,
1:25.60, 31463,  2153,
1:25.80, 31463,  3175,
1:26.00, 31458,  3958,
1:26.20, 31409,  2812,
1:26.40, 31357,  2814,
1:26.60, 31355,  3907,
1:26.80, 31355,  1872,
1:27.00, 31360,  3450,
1:27.20, 31385,  3639,
1:27.40, 31407,  2724,
1:27.60, 31379,  2599,
1:27.80, 31379,  2283,
1:28.00, 31354,  2523,
1:28.20, 31354,  2150,
1:28.40, 31363,  2167,
1:28.60, 31381,  2171,
1:28.80, 31407,  2398,
1:29.00, 31407,  2483,
1:29.20, 31444,  2236,
1:29.40, 31491,  3302,
1:29.60, 31543,  2072,
1:29.80, 31595,  2172,
1:30.00, 31595,  2375,
1:30.20, 31627,  2647,
1:30.40, 31660,  1959,
1:30.60, 31700,  1976,
1:30.80, 31739,  2549,
1:31.00, 31791,  2002,
1:31.20, 31791,  2175,
1:31.40, 31834,  2327,
1:31.60, 31858,  2029,
1:31.80, 31869,  2381,
1:32.00, 31863,  2935,
1:32.20, 31863,  2488,
1:32.40, 31853,  2249,
1:32.60, 31840,  2246,
1:32.80, 31828,  2281,
1:33.00, 31826,  2451,
1:33.20, 31826,  2157,
1:33.40, 31827,  2796,
1:33.60, 31832,  2616,
1:33.80, 31839,  2189,
1:34.00, 31839,  2323,
1:34.20, 31835,  2326,
1:34.40, 31835,  2444,
1:34.60, 31826,  2337,
1:34.80, 31815,  2240,
1:35.00, 31810,  2250,
1:35.20, 31810,  2092,
1:35.40, 31810,  1989,
1:35.60, 31815,  2358,
1:35.80, 31827,  1786,
1:36.00, 31844,  1640,
1:36.20, 31862,  1976,
1:36.40, 31882,  1997,
1:36.60, 31882,  2323,
1:36.80, 31892,  2131,
1:37.00, 31899,  2266,
1:37.20, 31904,  2026,
1:37.40, 31905,  2102,
1:37.60, 31905,  1945,
1:37.80, 31914,  1964,
1:38.00, 31917,  2122,
1:38.20, 31913,  1949,
1:38.40, 31903,  2015,
1:38.60, 31903,  2110,
1:38.80, 31892,  2433,
1:39.00, 31887,  2167,
1:39.20, 31894,  2320,
1:39.40, 31911,  2192,
1:39.60, 31929,  2384,
1:39.80, 31929,  2099,
1:40.00, 31949,  2233,
1:40.20, 31964,  2240,
1:40.40, 31977,  2253,
1:40.60, 31995,  2394,
1:40.80, 31995,  1506,
1:41.00, 32018,  2150,
1:41.20, 32053,  2449,
1:41.40, 32094,  1820,
1:41.60, 32135,  2868,
1:41.80, 32171,  2796,
1:42.00, 32171,  2450,
1:42.20, 32199,  2609,
1:42.40, 32217,  2043,
1:42.60, 32232,  2128,
1:42.80, 32243,  1806,
1:43.00, 32243,  1922,
1:43.20, 32252,  2315,
1:43.40, 32260,  1840,
1:43.60, 32268,  2091,
1:43.80, 32273,  2822,
1:44.00, 32274,  2662,
1:44.20, 32274,  2855,
1:44.40, 32276,  3479,
1:44.60, 32279,  2053,
1:44.80, 32284,  2906,
1:45.00, 32288,  2011,
1:45.20, 32288,  1801,
1:45.40, 32289,  1689,
1:45.60, 32287,  1960,
1:45.80, 32284,  1956,
1:46.00, 32285,  2197,
1:46.20, 32285,  2195,
1:46.40, 32286,  1821,
1:46.60, 32288,  1533,
1:46.80, 32291,  1564,
1:47.00, 32292,  1387,
1:47.20, 32294,   559,
1:47.40, 32294,    39,
1:47.60, 32296,   362,
1:47.80, 32297,  2374,
1:48.00, 32299,  2406,
1:48.20, 32301,  3042,
1:48.40, 32301,  2563,
1:48.60, 32299,  2501,
1:48.80, 32292,  2113,
1:49.00, 32279,  2245,
1:49.20, 32260,  1966,
1:49.40, 32243,  2126,
1:49.60, 32243,  2185,
1:49.80, 32233,  2443,
1:50.00, 32232,  2266,
1:50.20, 32239,  2396,
1:50.40, 32250,  2254,
1:50.60, 32250,  2761,
1:50.80, 32259,  2275,
1:51.00, 32268,  2142,
1:51.20, 32276,  2248,
1:51.40, 32282,  2032,
1:51.60, 32286,  2191,
1:51.80, 32286,  2230,
1:52.00, 32290,  2110,
1:52.20, 32290,  2323,
1:52.40, 32286,  2055,
1:52.60, 32285,  2703,
1:52.80, 32285,  2561,
1:53.00, 32275,  2236,
1:53.20, 32274,  1988,
1:53.40, 32274,  2178,
1:53.60, 32269,  2172,
1:53.80, 32269,  2355,
1:54.00, 32275,  2116,
1:54.20, 32272,  1999,
1:54.40, 32273,  2035,
1:54.60, 32279,  2121,
1:54.80, 32284,  2431,
1:55.00, 32284,  2568,
1:55.20, 32292,  2256,
1:55.40, 32303,  2195,
1:55.60, 32309,  2021,
